,Field,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
105,ag,83,"CH Keiffer, IA Ungar",Germination and establishment of halophytes on brine‐affected soils,2002,Journal of Applied Ecology,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2664.2002.00720.x,"https://scholar.google.com/scholar?cites=729598043818106893&as_sdt=2005&sciodt=0,5&hl=en",19,2019-09-07 23:36:05,,,,,,,,,83,4.88,42,2,17
583,rest,16,"L Liang, W Liu, Y Sun, X Huo, S Li…",Phytoremediation of heavy metal contaminated saline soils using halophytes: current progress and future perspectives,2016,Environmental …,NRC Research Press,https://www.nrcresearchpress.com/doi/abs/10.1139/er-2016-0063,"https://scholar.google.com/scholar?cites=10580863090103723831&as_sdt=2005&sciodt=0,5&hl=en",19,2019-09-07 23:54:23,,,,,,,,,16,5.33,3,6,3
284,ag,84,"M Rabhi, C Hafsi, A Lakhdar, S Hajji, ...",Evaluation of the capacity of three halophytes to desalinize their rhizosphere as grown on saline soils under nonleaching conditions,2009,African Journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2028.2008.00989.x,"https://scholar.google.com/scholar?cites=5434085473094740122&as_sdt=2005&sciodt=0,5&hl=en",20,2019-09-07 23:36:05,,,,,,,,,84,8.4,17,5,10
481,rest,7,"G Curado, BJ Grewell, E Figueroa, JM Castillo",Effectiveness of the Aquatic Halophyte Sarcocornia perennis spp. perennis as a Biotool for Ecological Restoration of Salt Marshes,2014,"Water, Air, & Soil Pollution",Springer,https://link.springer.com/article/10.1007/s11270-014-2108-5,"https://scholar.google.com/scholar?cites=13803477997154805647&as_sdt=2005&sciodt=0,5&hl=en",20,2019-09-07 23:54:23,,,,,,,,,7,1.4,2,4,5
22,ag,561,IA Ungar,Ecophysiology of vascular halophytes,1991,,books.google.com,https://books.google.com/books?hl=en&lr=&id=_slHw8DyhrAC&oi=fnd&pg=PA1&dq=halophyte+agriculture&ots=dGn1U5C_L4&sig=qAhPKMTBMq-i_G_A8WhuXjKyPi0,"https://scholar.google.com/scholar?cites=4602652637384998024&as_sdt=2005&sciodt=0,5&hl=en",21,2019-09-07 23:36:05,BOOK,,,,,,,,561,20.04,561,1,28
421,rest,29,"M Chai, F Shi, R Li, L Liu, Y Liu, F Liu",Interactive effects of cadmium and carbon nanotubes on the growth and metal accumulation in a halophyte Spartina alterniflora (Poaceae),2013,Plant growth regulation,Springer,https://link.springer.com/article/10.1007/s10725-013-9817-4,"https://scholar.google.com/scholar?cites=7031895607382227803&as_sdt=2005&sciodt=0,5&hl=en",21,2019-09-07 23:54:23,,,,,,,,,29,4.83,5,6,6
3,ag,2365,"TJ Flowers, PF Troke, AR Yeo",The mechanism of salt tolerance in halophytes,1977,Annual review of plant …,annualreviews.org,https://www.annualreviews.org/doi/pdf/10.1146/annurev.pp.28.060177.000513,"https://scholar.google.com/scholar?cites=15218953668446795310&as_sdt=2005&sciodt=0,5&hl=en",22,2019-09-07 23:36:05,,,,,,,,,2365,56.31,788,3,42
482,rest,15,"I Parraga-Aguado, MN González-Alcaraz…",Assessment of the employment of halophyte plant species for the phytomanagement of mine tailings in semiarid areas,2014,Ecological …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925857414003528,"https://scholar.google.com/scholar?cites=16486028489204135087&as_sdt=2005&sciodt=0,5&hl=en",22,2019-09-07 23:54:23,,,,,,,,,15,3,5,3,5
125,ag,47,"Z He, C Ruan, P Qin, DM Seliskar, JL Gallagher","Kosteletzkya virginica, a halophytic species with potential for agroecotechnology in Jiangsu Province, China",2003,Ecological Engineering,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925857404000072,"https://scholar.google.com/scholar?cites=13599462766315520305&as_sdt=2005&sciodt=0,5&hl=en",23,2019-09-07 23:36:05,,,,,,,,,47,2.94,9,5,16
173,rest,15,TA Aschenbach,… Wheatgrass) and Distichlis spicata (Inland Saltgrass) from Different Source Populations in Kansas and Nebraska: Implications for the Restoration of Salt‐Affected …,2006,Restoration Ecology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1526-100X.2006.00101.x,"https://scholar.google.com/scholar?cites=14671967895799328651&as_sdt=2005&sciodt=0,5&hl=en",23,2019-09-07 23:54:23,,,,,,,,,15,1.15,15,1,13
174,rest,11,"S Fan, S Qi, H Wu, M DONG",Effect of the Halophytes Rhizosphere on the Amount of Microorganism and the Enzyme Activity in Soil,2006,JOURNAL-HEBEI UNIVERSITY …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-HBDD200601009.htm,"https://scholar.google.com/scholar?cites=9405219542161699744&as_sdt=2005&sciodt=0,5&hl=en",24,2019-09-07 23:54:23,,,,,,,,,11,0.85,3,4,13
441,ag,323,S Shabala,Learning from halophytes: physiological basis and strategies to improve abiotic stress tolerance in crops,2013,Annals of botany,academic.oup.com,https://academic.oup.com/aob/article-abstract/112/7/1209/154610,"https://scholar.google.com/scholar?cites=5548990420326486859&as_sdt=2005&sciodt=0,5&hl=en",24,2019-09-07 23:36:05,,,,,,,,,323,53.83,323,1,6
241,ag,29,"RC Hendricks, DM Bushnell",Halophytes energy feedstocks: back to our roots,2008,,ntrs.nasa.gov,https://ntrs.nasa.gov/search.jsp?R=20080001445,"https://scholar.google.com/scholar?cites=14170513223864467003&as_sdt=2005&sciodt=0,5&hl=en",25,2019-09-07 23:36:05,,,,,,,,,29,2.64,15,2,11
483,rest,15,"E Manousaki, K Galanaki, L Papadimitriou…",Metal Phytoremediation by the Halophyte Limoniastrum monopetalum (L.) Boiss: Two Contrasting Ecotypes,2014,International journal …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2013.856847,"https://scholar.google.com/scholar?cites=8251448215017426502&as_sdt=2005&sciodt=0,5&hl=en",25,2019-09-07 23:54:23,,,,,,,,,15,3,4,4,5
81,ag,116,"A Maggio, MP Reddy, RJ Joly",Leaf gas exchange and solute accumulation in the halophyte Salvadora persica grown at moderate salinity,2000,Environmental and Experimental Botany,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098847200000514,"https://scholar.google.com/scholar?cites=16432845781565835720&as_sdt=2005&sciodt=0,5&hl=en",26,2019-09-07 23:36:05,,,,,,,,,116,6.11,39,3,19
272,rest,57,"JM Cho, KJ Kim, KY Chung, S Hyun…",Restoration of saline soil in cultivated land using electrokinetic process,2009,Separation Science and …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/01496390902983729,"https://scholar.google.com/scholar?cites=11019588546326852253&as_sdt=2005&sciodt=0,5&hl=en",26,2019-09-07 23:54:23,,,,,,,,,57,5.7,11,5,10
395,ag,52,"V Squires, AT Ayoub",Halophytes as a Resource for Livestock and for Rehabilitation of Degraded Lands,2012,,books.google.com,https://books.google.com/books?hl=en&lr=&id=zHDoCAAAQBAJ&oi=fnd&pg=PR9&dq=halophyte+agriculture&ots=-OhD_jRD96&sig=tPqQWrocLE-LjV6LWy4s6pufC7w,"https://scholar.google.com/scholar?cites=13512122329998485600&as_sdt=2005&sciodt=0,5&hl=en",27,2019-09-07 23:36:05,BOOK,,,,,,,,52,7.43,26,2,7
422,rest,8,"YJ Lee, JH Choi, HG Lee, TH Ha",Electrokinetic remediation of saline soil using pulse power,2013,Environmental Engineering …,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/ees.2012.0118,"https://scholar.google.com/scholar?cites=12079607536143722431&as_sdt=2005&sciodt=0,5&hl=en",27,2019-09-07 23:54:23,,,,,,,,,8,1.33,2,4,6
76,ag,27,"ZKFLIF Zeng, FANSJFL Tian",HALOPHYTES IN CHINA [J],1999,CHINESE BULLETIN OF BOTANY,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-ZWXT903.001.htm,"https://scholar.google.com/scholar?cites=9871884777243603895&as_sdt=2005&sciodt=0,5&hl=en",28,2019-09-07 23:36:05,,,,,,,,,27,1.35,14,2,20
273,rest,31,"SS Kachout, JC Leclerc, AB Mansoura…",Effects of heavy metals on growth and bioaccumulation of the annual halophytes Atriplex hortensis and A. rosea,2009,Journal of Applied …,researchgate.net,https://www.researchgate.net/profile/Salma_Sai_Kachout2/publication/261595375_Effects_of_Heavy_Metals_on_Growth_and_Bioaccumulation_of_the_Annual_Halophytes_Atriplex_Hortensis_and_A_Rosea/links/00b7d534bfdbba05e2000000.pdf,"https://scholar.google.com/scholar?cites=1891127031018147191&as_sdt=2005&sciodt=0,5&hl=en",28,2019-09-07 23:54:23,PDF,,,,,,,,31,3.1,8,4,10
242,ag,27,"C Abdelly, M Öztürk, M Ashraf, C Grignon",Biosaline agriculture and high salinity tolerance,2008,,books.google.com,https://books.google.com/books?hl=en&lr=&id=-kLAt2qCJ_MC&oi=fnd&pg=PR9&dq=halophyte+agriculture&ots=_vG7InchbT&sig=a0K6P6iWqzM8ccU09FTYwQio4TY,"https://scholar.google.com/scholar?cites=15350808993418711056&as_sdt=2005&sciodt=0,5&hl=en",29,2019-09-07 23:36:05,BOOK,,,,,,,,27,2.45,7,4,11
633,rest,1,KR Burris,Restoration of Brine Water Impacted Soils Using Halophytes and Soil Disturbances in West Texas,2017,,asu-ir.tdl.org,https://asu-ir.tdl.org/handle/2346.1/30678,"https://scholar.google.com/scholar?cites=14539258793000048335&as_sdt=2005&sciodt=0,5&hl=en",29,2019-09-07 23:54:23,,,,,,,,,1,0.5,1,1,2
54,ag,30,J Rozema,Biology of halophytes,1996,Halophytes and biosaline agriculture,books.google.com,https://books.google.com/books?hl=en&lr=&id=k_mW2p_KnaYC&oi=fnd&pg=PA17&dq=halophyte+agriculture&ots=q3GGd0A4Ik&sig=dywNpnPvfmM7pqPrtTkanEu51BY,"https://scholar.google.com/scholar?cites=6818039120338425501&as_sdt=2005&sciodt=0,5&hl=en",30,2019-09-07 23:36:05,,,,,,,,,30,1.3,30,1,23
223,rest,16,"HR Ding, L Hong, ZQ Yang, MW Wang…",Progress of study on halophyte Suaeda salsa,2008,Acta Agriculturae …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-JXNY200808013.htm,"https://scholar.google.com/scholar?cites=11138497147721820220&as_sdt=2005&sciodt=0,5&hl=en",30,2019-09-07 23:54:23,,,,,,,,,16,1.45,3,5,11
31,ag,21,"EP Glenn, MC Watson",Halophyte crops for direct salt water irrigation,1993,Towards the rational use of high salinity tolerant …,Springer,https://link.springer.com/chapter/10.1007/978-94-011-1858-3_40,"https://scholar.google.com/scholar?cites=12995035689354407187&as_sdt=2005&sciodt=0,5&hl=en",31,2019-09-07 23:36:05,,,,,,,,,21,0.81,11,2,26
634,rest,8,"S KARAKAŞ, MA Cullu…",Comparison of two halophyte species (Salsola soda and Portulaca oleracea) for salt removal potential under different soil salinity conditions,2017,Turkish Journal of …,journals.tubitak.gov.tr,https://journals.tubitak.gov.tr/agriculture/abstract.htm?id=20871,"https://scholar.google.com/scholar?cites=7139144330344384001&as_sdt=2005&sciodt=0,5&hl=en",31,2019-09-07 23:54:23,,,,,,,,,8,4,3,3,2
178,ag,105,"MA Khan, M Qaiser","Halophytes of Pakistan: characteristics, distribution and potential economic usages",2006,Sabkha ecosystems,Springer,https://link.springer.com/chapter/10.1007/978-1-4020-5072-5_11,"https://scholar.google.com/scholar?cites=16115850463392607830&as_sdt=2005&sciodt=0,5&hl=en",32,2019-09-07 23:36:05,,,,,,,,,105,8.08,53,2,13
484,rest,224,"J Paz-Ferreiro, H Lu, S Fu, A Méndez, G Gascó",Use of phytoremediation and biochar to remediate heavy metal polluted soils: a review,2014,Solid Earth,solid-earth.net,https://www.solid-earth.net/5/65/2014/se-5-65-2014.pdf,"https://scholar.google.com/scholar?cites=1624666761513347204&as_sdt=2005&sciodt=0,5&hl=en",32,2019-09-07 23:54:23,PDF,,,,,,,,224,44.8,45,5,5
55,ag,54,R Choukr-Allah,The potential of halophytes in the development and rehabilitation of arid and semi-arid zones,1996,Halophytes and biosaline agriculture,books.google.com,https://books.google.com/books?hl=en&lr=&id=k_mW2p_KnaYC&oi=fnd&pg=PA3&dq=halophyte+agriculture&ots=q3GGd0A4Jd&sig=YhaJNLfMbII2Ni9j0Qotsh19AWc,"https://scholar.google.com/scholar?cites=1363604955310740596&as_sdt=2005&sciodt=0,5&hl=en",33,2019-09-07 23:36:05,,,,,,,,,54,2.35,54,1,23
139,rest,4,"MC Vavrek, H Hunt, W Colgan III…",Status of oil brine spill site remediation,2004,… of International Petroleum …,researchgate.net,https://www.researchgate.net/profile/Milan_Vavrek/publication/251554598_Status_of_Oil_Brine_Spill_Site_Remediation/links/5458dd350cf2cf516483bec8.pdf,"https://scholar.google.com/scholar?cites=17466046222351360719&as_sdt=2005&sciodt=0,5&hl=en",33,2019-09-07 23:54:23,PDF,,,,,,,,4,0.27,1,4,15
12,ag,42,"D Pasternak, A Danon, JA Aronson, ...",Developing the seawater agriculture concept,1985,Biosalinity in Action …,Springer,https://link.springer.com/chapter/10.1007/978-94-009-5111-2_23,"https://scholar.google.com/scholar?cites=11042349994039688694&as_sdt=2005&sciodt=0,5&hl=en",34,2019-09-07 23:36:05,,,,,,,,,42,1.24,11,4,34
378,rest,50,"EP Glenn, K Morino, PL Nagler, RS Murray…",Roles of saltcedar (Tamarix spp.) and capillary rise in salinizing a non-flooding terrace on a flow-regulated desert river,2012,Journal of arid …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140196311003594,"https://scholar.google.com/scholar?cites=7251197842054482123&as_sdt=2005&sciodt=0,5&hl=en",34,2019-09-07 23:54:23,,,,,,,,,50,7.14,10,5,7
396,ag,65,B Ladeiro,Saline agriculture in the 21st century: using salt contaminated resources to cope food requirements,2012,Journal of Botany,hindawi.com,https://www.hindawi.com/journals/jb/2012/310705/abs/,"https://scholar.google.com/scholar?cites=15159066753655060170&as_sdt=2005&sciodt=0,5&hl=en",35,2019-09-07 23:36:05,,,,,,,,,65,9.29,65,1,7
